q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
0.0011783,0.00759651,0.00762388,-0.00058018,-0.00450788,-0.00116091,-4.96007e-06,1.85554e-05,0.000699162,-0.000699049
0.00119051,0.00758078,0.00761991,-0.000578987,-0.00452705,-0.00116028,-2.41699e-06,7.36459e-07,0.000699581,-0.000699595
0.00115372,0.00758512,0.00761275,-0.000579466,-0.00454795,-0.0011618,-1.20025e-05,1.9479e-06,0.000701579,-0.000701874
0.00117274,0.00756146,0.00760841,-0.000579808,-0.0045548,-0.0011621,-2.70698e-06,1.19783e-05,0.000701387,-0.000701734
0.00117621,0.0075627,0.00759843,-0.000581003,-0.00454655,-0.00116312,-2.97801e-06,-2.28225e-07,0.000701746,-0.000701677
0.0011706,0.00752752,0.00760736,-0.000581182,-0.00453883,-0.00116365,-1.13442e-05,3.3041e-05,0.000701107,-0.000701318
0.00124503,0.00750703,0.00759845,-0.000582923,-0.00453379,-0.00116474,-8.3288e-06,4.04632e-06,0.000697721,-0.000697622
0.00121598,0.0075152,0.00759514,-0.000580654,-0.00453919,-0.00116446,-1.0266e-05,1.10745e-05,0.000696674,-0.000696623
0.00126874,0.00750248,0.0075954,-0.000579825,-0.00454044,-0.00116515,2.45064e-06,3.9346e-06,0.000703396,-0.000703457
0.00123541,0.00750413,0.00760432,-0.000580157,-0.00452408,-0.0011649,4.55042e-06,3.75874e-05,0.000699604,-0.000699802
0.00122519,0.00751789,0.00760119,-0.000580955,-0.00452144,-0.00116414,-1.5871e-05,1.9008e-05,0.000701944,-0.000701788
0.00124803,0.00752914,0.0076084,-0.000580454,-0.0044985,-0.00116364,-8.95421e-07,4.10073e-06,0.000691937,-0.000692063
0.0012678,0.00752752,0.00762002,-0.000580794,-0.00447605,-0.00116446,-6.34543e-07,1.27458e-06,0.000691129,-0.000691171
0.00122716,0.00753622,0.00763127,-0.000580782,-0.00445325,-0.00116478,1.43178e-06,2.74903e-07,0.000692717,-0.000692686
0.00124869,0.00754763,0.00764241,-0.000580903,-0.00443057,-0.00116535,-5.49835e-07,-9.01682e-07,0.000691751,-0.000691762
0.00126611,0.00755399,0.00765348,-0.000581412,-0.00440793,-0.00116632,-7.02442e-07,-2.30541e-07,0.000692249,-0.000692268
0.00124416,0.007562,0.00766492,-0.000581573,-0.00438933,-0.00116629,4.31349e-07,1.13902e-05,0.00069221,-0.000692643
0.00121211,0.0075789,0.00766657,-0.000582498,-0.00439357,-0.00116751,-1.26919e-06,2.88794e-05,0.000704882,-0.000705058
0.00124806,0.00762354,0.00766198,-0.000583692,-0.00439437,-0.00116842,1.53992e-07,3.34751e-06,0.000701063,-0.000700839
0.00125483,0.00763452,0.00767309,-0.000581992,-0.00438133,-0.00116673,-3.71563e-06,3.12897e-05,0.000699054,-0.000698951
0.00119292,0.00762266,0.00768263,-0.000578577,-0.00437722,-0.00116609,5.4643e-07,6.8322e-06,0.000705026,-0.000704988
0.00125451,0.0076243,0.007674,-0.000576598,-0.00438521,-0.00116471,-1.53128e-07,2.69544e-06,0.000700814,-0.000700728
0.00120874,0.00763688,0.00767222,-0.000577213,-0.0044104,-0.00116548,-3.44665e-06,2.30213e-05,0.000698608,-0.000698997
